"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","contrast","log.sca.pval"
"WP_011132553.1...18",2.12048435211182,4.07842365900676,7.95428188292017,6.41066342772455e-06,0.00036515138884319,4.234696877331,"WP_011132553.1",185,8.6444603631084,1.12303667889922e-06,8.88446794862496e-05,"P2 - P1",5.94960605924754
"WP_011132768.1...19",3.57872327168781,-8.28359087308247,9.05425686865085,1.8134102832165e-06,0.000184449731664307,5.52025595028145,"WP_011132768.1",4,8.55070064139461,1.26564805980273e-06,9.48569914294256e-05,"P2 - P1",5.89768704229232
"WP_011132415.1...20",-1.52338314056396,6.56081692377726,-7.5155127857065,1.09981191669372e-05,0.000556268468199261,3.68189415799106,"WP_011132415.1",109,-8.42297362456449,1.49179912226931e-06,0.000103972802594057,"P2 - P1",5.8262896527101
"WP_011132552.1...21",-1.53564802805583,1.52347342173258,-8.19639597603846,4.80316516401366e-06,0.00032570034255026,4.52963258721149,"WP_011132552.1",20,-8.40178642520353,1.53330677982808e-06,0.000103972802594057,"P2 - P1",5.81437094399939
"WP_011132716.1...22",-1.54066562652588,-2.41147057215373,-8.09738529758383,5.40090018177994e-06,0.000349585539038847,4.40986967298661,"WP_011132716.1",20,-8.31028581543428,1.7272332471691e-06,0.000111799097453127,"P2 - P1",5.7626490109453
"WP_152556142.1...23",-2.32097148895264,-3.4063138961792,-8.94162157084851,2.052292603712e-06,0.000194830977845725,5.39483426552313,"WP_152556142.1",7,-8.14666326881703,2.14220112271037e-06,0.000132630191249546,"P2 - P1",5.66913975741506
"WP_011132477.1...24",-1.32627964019776,1.23202959696452,-7.80172339945606,7.71500920174411e-06,0.000422545119357062,4.04520588904036,"WP_011132477.1",22,-8.06835309838993,2.37729525871666e-06,0.0001341339936992,"P2 - P1",5.62391687579473
"WP_011131711.1...25",-1.29570166269938,1.16551637649536,-8.056235796561,5.67245909934213e-06,0.000351199206846226,4.35975130779995,"WP_011131711.1",19,-8.05601774488135,2.41676582704147e-06,0.0001341339936992,"P2 - P1",5.61676542859552
"WP_173027970.1...26",-3.43463102976481,-1.48325967788696,-8.78993658828341,2.42912822744229e-06,0.000211030826226649,5.2237661511634,"WP_173027970.1",3,-8.04607887458906,2.44907572765393e-06,0.0001341339936992,"P2 - P1",5.61099778588641
"WP_011132227.1...27",-1.72488117218018,1.65239842732747,-7.2175816760436,1.60701799827684e-05,0.000730795711237053,3.29257824036818,"WP_011132227.1",44,-7.90716071645524,2.95216727595123e-06,0.000155699488924242,"P2 - P1",5.52985903812123
"WP_011132178.1...28",-2.24783484141032,2.39808909098307,-7.45060559266331,1.1934682084335e-05,0.000566499576269767,3.59805708130428,"WP_011132178.1",19,-7.8038263011778,3.39731298745643e-06,0.000172777631933498,"P2 - P1",5.46886444062964
"WP_011132734.1...29",-1.3051773707072,1.77323849995931,-7.04319554056616,2.01643187443052e-05,0.000820399711196874,3.05929507779361,"WP_011132734.1",36,-7.74381381942054,3.68818076902979e-06,0.000181102393624083,"P2 - P1",5.43318780099472
"WP_011133282.1...30",-1.00455188751221,3.81577126185099,-6.55970262773808,3.85940986823004e-05,0.0012780929424092,2.39098356146725,"WP_011133282.1",80,-7.67357231235394,4.06264202399196e-06,0.000192840074738818,"P2 - P1",5.39119144345113
"WP_011132671.1...31",1.874192237854,-2.67588837941488,7.66507257750092,9.1273903997326e-06,0.000481385330711823,3.87302869521942,"WP_011132671.1",14,7.64846243292877,4.20614482407964e-06,0.000193211297725465,"P2 - P1",5.37611577796073
"WP_011132725.1...32",-1.62688477834066,0.169532934824625,-7.99936707972779,6.0722088852665e-06,0.000360284393859146,4.29015242791379,"WP_011132725.1",12,-7.5425663770684,4.87337516831634e-06,0.000216865194990077,"P2 - P1",5.31217015392594
"WP_011131884.1...33",1.86500326792399,-0.682793617248536,7.15400824609955,1.74487740042555e-05,0.000730795711237053,3.20800167152794,"WP_011131884.1",21,7.50798346478427,5.11495869021989e-06,0.000220718217420398,"P2 - P1",5.29115786941653
"WP_011132476.1...34",-1.41768360137939,1.49514404932658,-6.71506074541369,3.12256168022289e-05,0.0011401353417019,2.60922860548876,"WP_011132476.1",34,-7.30510294604472,6.81411131540736e-06,0.000278153890265192,"P2 - P1",5.16659077607012
"WP_036930403.1...35",1.22640387217204,1.39990266164144,6.65616072237726,3.38247069688579e-05,0.00118587281742408,2.5268807740807,"WP_036930403.1",35,7.30278849325808,6.83664758376526e-06,0.000278153890265192,"P2 - P1",5.16515680658099
"WP_011132578.1...36",-1.26472059885661,0.902014096577962,-6.42129305098777,4.67357143544602e-05,0.00151253766456253,2.19371076774523,"WP_011132578.1",61,-7.20526359108912,7.86202586035109e-06,0.000310986800698332,"P2 - P1",5.10446553200037
"WP_036930329.1...37",3.75648276011149,-2.13614908854167,6.87302833677856,2.52545630517524e-05,0.000998958271824872,2.82772504456443,"WP_036930329.1",5,6.93801109536346,1.16028028164792e-05,0.000445427742231811,"P2 - P1",4.93543708829917
"WP_011133246.1...38",-1.33034737904867,3.80036163330078,-6.27361655106093,5.74859348927584e-05,0.00163719942574576,1.98025344589129,"WP_011133246.1",44,-6.92163542877529,1.18864144696691e-05,0.000445427742231811,"P2 - P1",4.92494913031608
"WP_036930962.1...39",0.863465309143067,3.05142831802368,5.86361798973965,0.00010373558342423,0.00259156966308953,1.37132473920289,"WP_036930962.1",109,6.88960209103664,1.24626694032527e-05,0.000455047211031587,"P2 - P1",4.90438892533843
"WP_011132009.1...40",1.57325267791748,1.24643166859945,6.82496243205885,2.69301738762092e-05,0.00103644777296546,2.7616034183874,"WP_011132009.1",13,6.68033320205383,1.70363317672711e-05,0.00060649341091485,"P2 - P1",4.76862391102068
"WP_011132804.1...41",-1.9950704574585,0.25444221496582,-6.64926501360168,3.41438100522382e-05,0.00118587281742408,2.51720851251428,"WP_011132804.1",10,-6.55421454834185,2.06263580142616e-05,0.000716388629568499,"P2 - P1",4.68557744841757
"WP_011133173.1...42",-1.18512121836344,3.07312806447347,-6.77718417950333,2.87142837056142e-05,0.00107602999991565,2.69556439452956,"WP_011133173.1",15,-6.49362539207625,2.26282276162498e-05,0.000767204669655707,"P2 - P1",4.64534946136242
"WP_011131949.1...43",-1.26508235931396,4.59242073694865,-5.70832047747491,0.000130517531937448,0.00309761609131543,1.13437020592631,"WP_011131949.1",85,-6.35563408064905,2.79948587593863e-05,0.000927085555194559,"P2 - P1",4.55292171928076
"WP_011132387.1...44",-1.25763734181722,3.83428573608398,-5.66001999741325,0.000140277939482285,0.00327468501348809,1.059964525133,"WP_011132387.1",36,-6.16752626104066,3.75750963612072e-05,0.00119572016868795,"P2 - P1",4.4250998969929
"WP_011132440.1...45",-4.80879561106364,-1.95870939890543,-6.32394690590082,5.355198147826e-05,0.00161317366041937,2.05334970004274,"WP_011132440.1",1,-6.15041978937648,3.86037366228006e-05,0.00119572016868795,"P2 - P1",4.41337065605047
"WP_011131713.1...46",-1.54286543528239,4.22183020909627,-5.74721733821329,0.000123182640304089,0.00302434620332799,1.19404557892942,"WP_011131713.1",28,-6.15005829393222,3.86257919660433e-05,0.00119572016868795,"P2 - P1",4.4131226028951
"WP_011131706.1...47",-1.18394374847412,1.00672197341919,-6.29842676736538,5.55094869104981e-05,0.00161317366041937,2.01633097294807,"WP_011131706.1",15,-6.11585704838035,4.07738178869331e-05,0.00123535992917006,"P2 - P1",4.38961862115522
"WP_011132252.1...48",-1.43119462331136,0.239726384480795,-6.32877307899029,5.31901525085247e-05,0.00161317366041937,2.06034001777534,"WP_011132252.1",12,-6.097497484866,4.19785661001543e-05,0.0012414533199504,"P2 - P1",4.37697240008964
"WP_011133024.1...49",1.37398560841878,0.426680405934651,7.16122927224617,1.72859845163186e-05,0.000730795711237053,3.21763528665024,"WP_011133024.1",8,6.08649420857977,4.27185482286305e-05,0.0012414533199504,"P2 - P1",4.36938351503868
"WP_011131709.1...50",-1.14995225270589,-0.0250469843546548,-5.64792778348179,0.000142841002805318,0.00328073529023828,1.04128419607289,"WP_011131709.1",26,-6.00846035522471,4.83777403351761e-05,0.00137779804474581,"P2 - P1",4.31535442086216
"WP_011131745.1...51",-1.3201634089152,0.533065795898438,-6.23274310078398,6.09076839676254e-05,0.00166793349942113,1.92062695732269,"WP_011131745.1",12,-5.92814373168802,5.50351054253339e-05,0.00153666647305246,"P2 - P1",4.25936019725239
"WP_011133114.1...52",-1.80733903249105,0.0614881515502929,-6.30509405180269,5.49908121511267e-05,0.00161317366041937,2.02601124324514,"WP_011133114.1",6,-5.7653408595801,7.16706377363974e-05,0.00196267284878134,"P2 - P1",4.14465873109393
"WP_011132663.1...53",-1.75240230560303,-1.29395262400309,-6.61784847145392,3.56389441430866e-05,0.00120832991570846,2.47305859867909,"WP_011132663.1",5,-5.75223694080207,7.32223315675997e-05,0.00196733207834457,"P2 - P1",4.13535644629823
"WP_011132749.1...54",-1.89459896087646,0.507660230000814,-5.5378602264786,0.000168593511382891,0.00369349477244981,0.87028227794787,"WP_011132749.1",15,-5.73635967501301,7.51499310382434e-05,0.00198173151478627,"P2 - P1",4.12407141360966
"WP_011132939.1...55",-1.84035078684489,-0.059504350026448,-5.72045595672365,0.000128180496088986,0.00309371231238501,1.1530117914983,"WP_011132939.1",10,-5.69398869578411,8.05600092005557e-05,0.00205452530305742,"P2 - P1",4.09388049285476
"WP_011132112.1...56",-1.44020938873291,3.24835936228434,-5.2594927802229,0.00025836027505322,0.00518176100951811,0.430068812844685,"WP_011132112.1",36,-5.69177221352341,8.08540612638218e-05,0.00205452530305742,"P2 - P1",4.0922981607895
"WP_011133109.1...57",-1.26776345570882,-0.625155448913573,-5.97025202714337,8.87739888217268e-05,0.00229843927422071,1.532017056294,"WP_011133109.1",12,-5.68144772448864,8.22387235072142e-05,0.00205452530305742,"P2 - P1",4.08492363932734
"WP_011132515.1...58",-1.63199583689371,-1.43976593017578,-5.49252877726603,0.00018059479850154,0.00383831332934615,0.799349039716672,"WP_011132515.1",14,-5.59694572247364,9.4553499772907e-05,0.00228999292072642,"P2 - P1",4.02432239168481
"WP_011133252.1...59",-1.04112084706624,3.89190371831258,-5.04398321410166,0.000362265969812477,0.00661367616683291,0.0817398810820498,"WP_011133252.1",48,-5.59486378802667,9.48803246649289e-05,0.00228999292072642,"P2 - P1",4.02282383789269
"WP_011133134.1...60",-1.19473807017008,0.341633001963297,-6.39481673296202,4.84926451891936e-05,0.00153452281665359,2.15566771582007,"WP_011133134.1",9,-5.53660102820633,0.000104524923041656,0.0024238163541028,"P2 - P1",3.98078014353451
"WP_011131950.1...61",-1.49836889902751,-0.374462922414144,-7.49196049530542,1.13285011079906e-05,0.000556268468199261,3.65153539852717,"WP_011131950.1",4,-5.53400240325687,0.000104978384155098,0.0024238163541028,"P2 - P1",3.97890011624996
"WP_011133341.1...62",-1.21806112925212,0.457464694976807,-5.07747509972715,0.000343578404837442,0.00635396946088983,0.136297368513033,"WP_011133341.1",38,-5.53084957393305,0.000105531330024139,0.0024238163541028,"P2 - P1",3.97661858835997
"WP_011131675.1...63",0.717704455057781,1.99182240168253,4.73782844132834,0.000592194512954355,0.00887668406786318,-0.424034304723652,"WP_011131675.1",61,5.51691909856636,0.000108011338092938,0.00242889209456196,"P2 - P1",3.96653065365429
"WP_011132721.1...64",-1.13641897837321,3.52346722284953,-4.96140665550682,0.000413079513022435,0.00735281533179934,-0.0534339976391038,"WP_011132721.1",99,-5.50582684721546,0.000110029810483978,0.00242889209456196,"P2 - P1",3.95848963507152
"WP_011132353.1...65",1.44434960683187,-0.728645324707032,6.24945172893604,5.94833408096268e-05,0.00166086818260605,1.94503034048739,"WP_011132353.1",7,5.5012759246741,0.00011086937229391,0.00242889209456196,"P2 - P1",3.95518841129758
"WP_225866759.1...66",-1.36037985483806,-3.34500455856323,-5.60505499392908,0.000152336836211663,0.0033894946057095,0.974883764283208,"WP_225866759.1",12,-5.46787136567146,0.000117241557894911,0.00252957543094475,"P2 - P1",3.9309184193306
"WP_011132171.1...67",-1.45325438181559,1.54217608769735,-5.29713007477695,0.000243714440433825,0.00502970091561981,0.490233440895316,"WP_011132171.1",16,-5.43664510710645,0.000123546394252917,0.00261169897729658,"P2 - P1",3.90816992512157
"WP_011132923.1...68",0.919155438741047,0.216863791147868,5.28598729012163,0.000247956542353866,0.00504414451874151,0.472442162153939,"WP_011132923.1",21,5.43103675493214,0.000124715962398994,0.00261169897729658,"P2 - P1",3.9040779576029
"WP_011132781.1...69",-3.07467110951742,-2.90907828013102,-5.33299970345981,0.000230572965595343,0.00482846916187895,0.547385666649605,"WP_011132781.1",5,-5.41283103743983,0.000128593322665664,0.00265386799240443,"P2 - P1",3.89078158199302
"WP_011132699.1...70",-0.947490374247234,1.48538668950399,-4.90296730429369,0.000453553783695762,0.00759835985862076,-0.149657542647114,"WP_011132699.1",33,-5.33931870426893,0.000145583157160786,0.00296157736852799,"P2 - P1",3.8368888666112
"WP_011133091.1...71",1.27472082773845,1.36597681045532,5.18855869784956,0.000288555407185719,0.00555274188962788,0.316134858571858,"WP_011133091.1",17,5.31598549628259,0.000151455518822199,0.00303764308172973,"P2 - P1",3.81971489697385
"WP_011133069.1...72",-1.27220439910888,3.32980155944824,-5.09187430264767,0.000335859705329436,0.00629295026827785,0.159705645642696,"WP_011133069.1",19,-5.28678363449604,0.000159156629834635,0.00314776445672945,"P2 - P1",3.79817526567869
"WP_080503707.1...73",-1.31594244639079,-0.242260615030924,-6.07615156188209,7.61701236915459e-05,0.00200863437290299,1.68998523342433,"WP_080503707.1",7,-5.23344837147877,0.000174300073880097,0.00340004527678435,"P2 - P1",3.75870242880675
"WP_011132211.1...74",-0.807723045349121,1.22767925262451,-4.94355395225509,0.000425023553685956,0.00742382536796505,-0.082780377925582,"WP_011132211.1",25,-5.21486052895509,0.000179926138947633,0.00346236245758689,"P2 - P1",3.74490573951107
"WP_036930597.1...75",1.63276131947835,-2.79421043395996,6.19003773041207,6.47161719758389e-05,0.00173878922440745,1.85807397465005,"WP_036930597.1",4,5.18323970160562,0.000189938062682755,0.00360629068346991,"P2 - P1",3.72138799599669
"WP_011133126.1...76",-1.81675243377686,0.412739912668864,-4.84775270501003,0.000495649817920192,0.00802051523543584,-0.240993742885555,"WP_011133126.1",22,-5.14311942509633,0.000203487105694208,0.00381270576984937,"P2 - P1",3.69146310537377
"WP_011132645.1...77",1.51926644643148,-2.32698249816894,7.18161884928664,1.68350565839673e-05,0.000730795711237053,3.2447998381118,"WP_011132645.1",3,5.13220186249997,0.000207346467071821,0.00383456323519835,"P2 - P1",3.68330336007949
"WP_036930312.1...78",0.82442315419515,6.0042249361674,4.60121314715644,0.000740508851817109,0.0106788792948576,-0.653699113468437,"WP_036930312.1",184,5.11224353248759,0.000214600976308706,0.00390273251183595,"P2 - P1",3.66836830658014
"WP_011133272.1...79",-0.714788754781087,-0.628698507944742,-4.58749664384526,0.00075742051178414,0.0106788792948576,-0.676888289253961,"WP_011133272.1",36,-5.10709812465191,0.000216513952552697,0.00390273251183595,"P2 - P1",3.66451411168291
"WP_011132658.1...80",1.26108010609945,-0.605522632598877,5.92917268026332,9.42459893075323e-05,0.00239654087096297,1.47030619156725,"WP_011132658.1",7,5.07424230671354,0.000229157258123725,0.00407899919460231,"P2 - P1",3.63986638274316
"WP_011132250.1...81",-1.12351067860921,-0.742592811584473,-5.50940889482975,0.000176023177001363,0.00379783339469607,0.825796960388814,"WP_011132250.1",10,-5.01426300868997,0.000254268635931944,0.00447010540206282,"P2 - P1",3.59470720679929
"WP_011133180.1...82",-1.15271409352621,3.90077018737793,-4.59218579715916,0.000751593886156413,0.0106788792948576,-0.668958153149012,"WP_011133180.1",38,-4.99361013790261,0.000263567241324127,0.00457707014201898,"P2 - P1",3.5791085690259
"WP_011131740.1...83",-1.86292552947998,-3.81687196095785,-4.76249010216644,0.000568932824226262,0.00887668406786318,-0.382830953526097,"WP_011131740.1",16,-4.98624530021863,0.000266968457067562,0.00458027810679769,"P2 - P1",3.57354004848841
"WP_011132426.1...84",-1.05252679189046,-0.712751388549804,-4.93872557130446,0.000428316117407813,0.00742382536796505,-0.0907247297778762,"WP_011132426.1",16,-4.9454558008644,0.00028665393929214,0.00485946678038104,"P2 - P1",3.54264208563156
"WP_011133016.1...85",-3.03839461008708,-2.23907168706258,-4.82990804749388,0.000510119771082997,0.00816191633732796,-0.270599446303582,"WP_011133016.1",4,-4.89635189926644,0.000312379115081229,0.00523326893971377,"P2 - P1",3.50531800971208
"WP_011132199.1...86",0.694753328959147,1.03905725479126,4.27505527491491,0.00127546216162509,0.0146472428883397,-1.2112002176494,"WP_011132199.1",50,4.87201398669072,0.000326011454948942,0.00539814316101504,"P2 - P1",3.48676714001269
"WP_011131893.1...87",-0.748319307963052,1.42770830790202,-4.49548674249494,0.000881872816836427,0.0117363260857483,-0.833039441814712,"WP_011131893.1",29,-4.84789409249821,0.00034013479903116,0.0055433163611543,"P2 - P1",3.4683489333302
"WP_011133170.1...88",-0.880298932393398,3.92274618148804,-4.41485192200345,0.00100858022871363,0.0128663615282904,-0.970723412209719,"WP_011133170.1",37,-4.84385011413899,0.000342564494228637,0.0055433163611543,"P2 - P1",3.46525765234444
"WP_011132377.1...89",-0.855998675028484,4.00979423522949,-4.29253242817402,0.00123840115761571,0.0144547807249571,-1.18101708535337,"WP_011132377.1",85,-4.82859320849068,0.000351895218216843,0.00563032349146949,"P2 - P1",3.45358663460314
"WP_011131681.1...90",-1.30048529307047,0.671953678131103,-4.5622281713796,0.000789645362919931,0.0110240685960586,-0.719668379015021,"WP_011131681.1",22,-4.81643881551785,0.000359517925697426,0.00568837251325706,"P2 - P1",3.44427945065692
"WP_011133276.1...91",-1.10420385996501,0.856667677561442,-4.37107430368648,0.00108522643409971,0.0129862390097309,-1.04579190807439,"WP_011133276.1",48,-4.78661075859683,0.000378962992064387,0.00593014616153502,"P2 - P1",3.42140319933793
"WP_036930362.1...92",1.05959606170655,-0.522178332010906,4.49695957160777,0.000879720042363585,0.0117363260857483,-0.83053177737183,"WP_036930362.1",25,4.77458206065711,0.000387111694588895,0.00599181579450637,"P2 - P1",3.41216370850872
"WP_011132055.1...93",0.812393506368001,-0.279170831044515,4.41284853411805,0.00101196101907902,0.0128663615282904,-0.974153928781768,"WP_011132055.1",30,4.76824088153624,0.000391480707535424,0.00599428524226284,"P2 - P1",3.40728963543837
"WP_011131942.1...94",1.83302974700928,-2.19753774007161,4.75610849603844,0.000574858416384609,0.00887668406786318,-0.393485393698526,"WP_011131942.1",8,4.75073517986645,0.000403810542591145,0.00603305501590613,"P2 - P1",3.39382234678567
"WP_011131798.1...95",-0.913641293843587,2.30114110310872,-4.46246552006302,0.000931616837391505,0.0120602034222318,-0.889330122129249,"WP_011131798.1",26,-4.74753869239692,0.000406105242386237,0.00603305501590613,"P2 - P1",3.39136140419448
"WP_011133135.1...96",-1.13193035125733,2.77065833409627,-4.67505613949628,0.000656034082733621,0.00973117222721537,-0.529265805295759,"WP_011133135.1",16,-4.7466816393161,0.000406722810061088,0.00603305501590613,"P2 - P1",3.39070147056106
"WP_011132709.1...97",-2.08428223927816,-1.01834297180176,-4.932344361679,0.000432708922430547,0.00742382536796505,-0.101228865452725,"WP_011132709.1",4,-4.72301021178193,0.000424171849086133,0.00622701766081085,"P2 - P1",3.37245815758334
"WP_011132824.1...98",-1.39875316619873,0.430749734242757,-4.87756587582105,0.000472431560747612,0.00773267290235172,-0.191625981405326,"WP_011132824.1",9,-4.71393999696245,0.000431062699156196,0.00626360493467779,"P2 - P1",3.36545955601762
"WP_011132956.1...99",1.02310530344645,0.208548704783122,4.37516869305684,0.00107780618978886,0.0129862390097309,-1.03876165276645,"WP_011132956.1",30,4.70679514384781,0.000436572779971187,0.00627959230988859,"P2 - P1",3.35994334576118
"WP_011133165.1...100",-0.995993614196779,2.34582122166952,-4.92377806828262,0.000438680795776845,0.0074366839665027,-0.115338539525287,"WP_011133165.1",12,-4.63705577687289,0.000494364611721279,0.00703975207091102,"P2 - P1",3.30595262506374
"WP_011132394.1...101",-1.14227771759033,3.97328933080037,-4.21592942049767,0.0014096646544283,0.0155609493636116,-1.31355424302111,"WP_011132394.1",63,-4.62099390980061,0.000508768171720407,0.00713003037439426,"P2 - P1",3.29348006575304
"WP_011132788.1...102",0.834408124287922,1.41088088353475,4.74118173122159,0.000588973646335862,0.00887668406786318,-0.418427163952309,"WP_011132788.1",16,4.61885546927693,0.000510718467828802,0.00713003037439426,"P2 - P1",3.29181843756031
"WP_011131825.1...103",0.633431434631347,0.51044750213623,4.12472715346625,0.00164628510386407,0.0178954960908583,-1.47214815615529,"WP_011131825.1",37,4.61333192245499,0.000515792072915676,0.00713095060030993,"P2 - P1",3.28752533671424
"WP_036930751.1...104",1.02876504262288,0.0650329589843748,4.39103956797572,0.00104954149456898,0.0129862390097309,-1.0115287452506,"WP_036930751.1",21,4.58935484621402,0.000538430542504387,0.00737235665890622,"P2 - P1",3.26887031270514
"WP_011133231.1...105",0.935558636983237,-0.24894650777181,4.500293071022,0.000874867924969343,0.0117363260857483,-0.824857067018889,"WP_011133231.1",18,4.58058242099478,0.000546968994025543,0.00739978090128549,"P2 - P1",3.26203729177492
"WP_011133205.1...106",0.663747469584147,0.983963648478189,4.05948392468723,0.00184069550650585,0.018913835715,-1.58610551830422,"WP_011133205.1",43,4.57666585795622,0.000550826387314791,0.00739978090128549,"P2 - P1",3.25898526305798
"WP_011132672.1...107",1.53826300303141,-3.58753983179728,4.64960314123299,0.000683946181715826,0.0100406119872509,-0.572078992294397,"WP_011132672.1",8,4.54357694474247,0.00058456457339426,0.00777962572442455,"P2 - P1",3.23316750790705
"WP_011131649.1...108",-0.891899426778155,-0.52686595916748,-4.38044193856044,0.00106832764590158,0.0129862390097309,-1.02971006666663,"WP_011131649.1",18,-4.44990065780512,0.000692210221521481,0.00904594332288115,"P2 - P1",3.15976199198555
"WP_011131736.1...109",-1.37611166636149,-1.28239568074544,-4.34294613993553,0.00113766963990481,0.0133887732828467,-1.09414068443934,"WP_011131736.1",14,-4.44973226964483,0.000692421223450875,0.00904594332288115,"P2 - P1",3.15962962900239
"WP_011132236.1...110",-1.42755921681722,-0.247975349426269,-4.59126129557983,0.000752738912928409,0.0106788792948576,-0.670521422296312,"WP_011132236.1",8,-4.43897079162231,0.000706045290558585,0.00914007721595841,"P2 - P1",3.15116743944565
"WP_011133339.1...111",0.623604774475096,2.0291862487793,3.82620385178989,0.00275455788884623,0.0255702279529017,-1.99664651730368,"WP_011133339.1",81,4.42490153553769,0.000724277146141683,0.00929162753248429,"P2 - P1",3.14009521832151
"WP_011133012.1...112",-1.89336427052816,-3.44011576970418,-4.54077125665546,0.000818138849326477,0.0112508957983782,-0.756057186098141,"WP_011133012.1",5,-4.4171753739516,0.000734495995453987,0.00933859194220069,"P2 - P1",3.13401056768445
"WP_173028049.1...113",-1.64835580190023,-3.78168296813965,-5.63550930413026,0.00014552508965369,0.00328932901058499,1.02207793832981,"WP_173028049.1",2,-4.39605929727377,0.000763193550256365,0.0096175895182749,"P2 - P1",3.11736530850824
"WP_036930376.1...114",0.841846783955892,-0.0637667973836263,4.07798886601767,0.00178324105421971,0.0187944549381361,-1.5537425228014,"WP_036930376.1",28,4.36917329285724,0.000801421382954073,0.0100093079468512,"P2 - P1",3.09613907421294
