"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","contrast","log.sca.pval"
"WP_011132307.1...1",-3.18140761057536,1.95086415608724,-14.3970807118586,1.52860423360381e-08,1.08836621432591e-05,10.2120560111034,"WP_011132307.1",22,-15.0833645689353,1.75421086289377e-09,2.49799626876073e-06,"P2 - P1",8.75591820396482
"WP_225866782.1...2",2.09205468495687,3.11113850275675,12.2448562785016,8.39154171311792e-08,3.00780197633094e-05,8.5795926587267,"WP_225866782.1",58,13.9554198637707,4.46694440331205e-09,3.06387677674992e-06,"P2 - P1",8.34998945283039
"WP_071812982.1...3",-4.85077126820883,2.01566410064697,-14.5702935107306,1.34641750038485e-08,1.08836621432591e-05,10.3313941585066,"WP_071812982.1",5,-13.5322065565656,6.45479658023158e-09,3.06387677674992e-06,"P2 - P1",8.19011743976084
"WP_011132310.1...4",-3.23987293243408,2.72757768630981,-12.2368552707047,8.4488819559858e-08,3.00780197633094e-05,8.57295844940696,"WP_011132310.1",33,-13.2051844945435,8.63892684075737e-09,3.07545795530962e-06,"P2 - P1",8.06354020382717
"WP_011132179.1...5",-3.81067371368408,1.98478984832764,-11.2946914280346,1.93804637365239e-07,3.66732710009014e-05,7.75864892956967,"WP_011132179.1",33,-12.1406051928208,2.33506011508556e-08,6.65025120776368e-06,"P2 - P1",7.6317019342354
"WP_011132114.1...6",-2.55031681060791,2.13680744171143,-11.2514965525291,2.01607302560675e-07,3.66732710009014e-05,7.71967687820916,"WP_011132114.1",19,-11.6134054425572,3.92905427044406e-08,9.32495546852057e-06,"P2 - P1",7.40571197241201
"WP_011133190.1...7",2.11917718251546,4.43591896692912,10.1334865738835,5.87109404219218e-07,7.60039810552878e-05,6.65639097669642,"WP_011133190.1",59,11.2967338612327,5.42274762210563e-08,9.60033991997031e-06,"P2 - P1",7.26578060741729
"WP_011131901.1...8",-1.88743495941162,0.870627562204997,-11.0683475155769,2.38680693531787e-07,3.77645897321405e-05,7.55275825097336,"WP_011131901.1",20,-11.2538225240281,5.66803079823235e-08,9.60033991997031e-06,"P2 - P1",7.24656779860347
"WP_036930738.1...9",1.83734925587972,2.48416789372762,9.88834288600516,7.51874952622374e-07,8.9222494377855e-05,6.40833670655751,"WP_036930738.1",110,11.1880057308938,6.06763056739697e-08,9.60033991997031e-06,"P2 - P1",7.21698086945175
"WP_011131781.1...10",-2.71405506134034,1.88209199905396,-10.1447717060075,5.8053053218937e-07,7.60039810552878e-05,6.66767485605871,"WP_011131781.1",18,-10.5194085895977,1.23593778277237e-07,1.68827006900371e-05,"P2 - P1",6.90800339112321
"WP_011132726.1...11",-3.16231568654378,0.315304120381672,-11.615414060739,1.4514673900678e-07,3.66732710009014e-05,8.04340793904856,"WP_011132726.1",6,-10.4702829474889,1.30414120498882e-07,1.68827006900371e-05,"P2 - P1",6.88467538312296
"WP_011132131.1...12",-2.01829179128011,1.90192715326945,-9.49104132974241,1.13481660551141e-06,0.00012430606509602,5.99405031875304,"WP_011132131.1",30,-10.2257102349112,1.70920001767417e-07,2.02825068764001e-05,"P2 - P1",6.76720711136397
"WP_011132465.1...13",-2.60866769154867,2.85773626963298,-8.51110082192055,3.33118429302785e-06,0.000244552870093864,4.90267094827404,"WP_011132465.1",92,-9.28601571665122,5.08030407479004e-07,5.28063065102243e-05,"P2 - P1",6.2941102928241
"WP_036930715.1...14",-2.28066539764405,1.25703859329224,-8.71918203578528,2.62986586582728e-06,0.000211030826226649,5.14310874899729,"WP_036930715.1",25,-9.26802249262771,5.19163125802767e-07,5.28063065102243e-05,"P2 - P1",6.28469616141009
"WP_011132036.1...15",-2.52524407704671,1.81725517908732,-8.70655843097205,2.66752448882e-06,0.000211030826226649,5.12866015756048,"WP_011132036.1",15,-8.91514150374731,7.99448097900926e-07,7.5894272760728e-05,"P2 - P1",6.09720972644797
"WP_036930743.1...16",-3.85178025563558,2.127463499705,-8.48443454759787,3.43473132154303e-06,0.000244552870093864,4.87150476786196,"WP_036930743.1",11,-8.77899817836342,9.4756667597186e-07,8.16195020776567e-05,"P2 - P1",6.02339022095056
"WP_011132591.1...17",2.50650183359782,-3.13566970825195,11.2278113571416,2.06029612364615e-07,3.66732710009014e-05,7.69824363252726,"WP_011132591.1",4,8.75678792352155,9.74390123118093e-07,8.16195020776567e-05,"P2 - P1",6.0112671269044
