"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","contrast","log.sca.pval"
"WP_011132009.1...1",2.60293324788411,0.916715558369955,7.59151153957762,3.58740716581243e-06,0.00237661232175264,4.77006926864384,"WP_011132009.1",24,8.15111129560539,5.95146673564248e-07,0.000486828664423558,"C2 - C1",6.2253759894486
"WP_011132596.1...2",1.79564603169759,2.04648812611898,7.25398988705262,5.8668596507415e-06,0.00237661232175264,4.30574483977546,"WP_011132596.1",55,7.90323815113504,8.76324447234272e-07,0.000486828664423558,"C2 - C1",6.05733507242086
"WP_011133327.1...3",1.11675389607747,1.46785945892334,7.08879465442305,7.50348076089023e-06,0.00237661232175264,4.0723637138366,"WP_011133327.1",68,7.80384731490176,1.02562218628559e-06,0.000486828664423558,"C2 - C1",5.98901259305421
"WP_011132606.1...4",1.43806902567546,-0.20702444712321,7.14665343266087,6.88116618440499e-06,0.00237661232175264,4.15456722126754,"WP_011132606.1",14,7.25875044717058,2.48619601690014e-06,0.000885085782016449,"C2 - C1",5.60446463365812
"WP_011133282.1...5",-0.988426844278973,3.74974295298258,-6.39296341424392,2.20076476437982e-05,0.00354786624969749,3.04399442433504,"WP_011133282.1",52,-7.11015151109222,3.18650327811504e-06,0.000907516133607162,"C2 - C1",5.49668563040347
"WP_011132010.1...6",1.7087459564209,-0.255776659647624,6.41840980849104,2.11340925603049e-05,0.00354786624969749,3.08290935552869,"WP_011132010.1",20,6.81903772135187,5.2263531420442e-06,0.00124038781237849,"C2 - C1",5.28180124855827
"WP_011132672.1...7",2.32117589314778,-1.72601579030355,6.245679747866,2.78704677249647e-05,0.00354786624969749,2.81678858016582,"WP_011132672.1",18,6.65782301390662,6.90796724165451e-06,0.00140527790744515,"C2 - C1",5.16064973057221
"WP_011132607.1...8",1.49956321716309,1.34725170135498,6.02932834735668,3.96439838481431e-05,0.00403235949998255,2.47695056753449,"WP_011132607.1",20,6.39371473591242,1.09943130000867e-05,0.0017487735074487,"C2 - C1",4.95883190314658
"WP_011132605.1...9",1.69619687398275,-1.34694054921468,6.17640583921981,3.11772159013052e-05,0.00354786624969749,2.70876337469475,"WP_011132605.1",12,6.3754861583002,1.13566714157543e-05,0.0017487735074487,"C2 - C1",4.94474893954021
"WP_011133091.1...10",1.34688440958659,1.29842980702718,5.85718758884529,5.27179124561388e-05,0.00469189420859635,2.20139316101796,"WP_011133091.1",28,6.32410039976864,1.24467904055993e-05,0.0017487735074487,"C2 - C1",4.90494262357566
"WP_011132413.1...11",1.04220898946127,-0.19498831431071,7.01816734518123,8.34484663536741e-06,0.00237661232175264,3.97133909997668,"WP_011132413.1",9,6.23201506667532,1.46820507840964e-05,0.0017487735074487,"C2 - C1",4.83321327807041
"WP_011133069.1...12",-1.68563524881999,3.03145872751872,-6.15293499022939,3.23892284031372e-05,0.00354786624969749,2.67199469019556,"WP_011133069.1",9,-6.20841805682309,1.53196568123218e-05,0.0017487735074487,"C2 - C1",4.81475096356662
"WP_011132008.1...13",2.7204049428304,-2.5107385635376,6.17508983753187,3.12438935400115e-05,0.00354786624969749,2.70670402403806,"WP_011132008.1",4,6.17892473402148,1.61573967257723e-05,0.0017487735074487,"C2 - C1",4.7916286113032
"WP_036930937.1...14",1.12920188903809,-2.13131898244222,6.17968917950053,3.10115116203964e-05,0.00354786624969749,2.71390015487408,"WP_036930937.1",13,6.14459399345752,1.719299796649e-05,0.0017487735074487,"C2 - C1",4.76464838818897
"WP_011132719.1...15",1.23334757486979,-1.38758233388265,5.92811246457374,4.68534013531089e-05,0.00444794956845514,2.31548038267479,"WP_011132719.1",13,5.99575732216084,2.25493207383622e-05,0.00214068218209519,"C2 - C1",4.64686653600439
"WP_011131949.1...16",-1.03121757507324,4.75975157419841,-5.37040844317569,0.000120693787714656,0.00859339768528349,1.39772193083158,"WP_011131949.1",50,-5.90437701139529,2.66746952542514e-05,0.00237404787762837,"C2 - C1",4.57390053348374
"WP_011132598.1...17",2.13397534688314,-0.450893974304199,5.59864985322561,8.1514611231016e-05,0.00610930559962983,1.77900115127301,"WP_011132598.1",10,5.85128024833759,2.94254765568661e-05,0.00237776175467656,"C2 - C1",4.53127649486205
"WP_011132438.1...18",0.886192321777346,5.19382241566976,5.29003087428143,0.000138820277954153,0.00898545799121428,1.2616156927931,"WP_011132438.1",59,5.83983779386603,3.00559772360801e-05,0.00237776175467656,"C2 - C1",4.52206914687229
"WP_011131800.1...19",0.997378031412764,2.83088461558024,5.29783981805715,0.000136940608201242,0.00898545799121428,1.27488019739815,"WP_011131800.1",66,5.79862476152324,3.24457213480967e-05,0.00243172143156262,"C2 - C1",4.48884256596461
"WP_011132955.1...20",0.832675933837891,4.39304955800374,5.24613565301277,0.0001498997941847,0.00912148862165135,1.18688950432136,"WP_011132955.1",31,5.73724829916669,3.63768367707072e-05,0.00259003077807435,"C2 - C1",4.43917506867976
"WP_011131884.1...21",1.76032638549805,1.24846350351969,5.20154915038756,0.000162102935997495,0.00912148862165135,1.11070221029009,"WP_011131884.1",22,5.57020311186822,4.97868137134628e-05,0.00321164526921619,"C2 - C1",4.30288566707542
"WP_011132671.1...22",2.90846252441406,-0.98016783396403,5.16476666104633,0.000172949573584681,0.00912148862165135,1.04763601513939,"WP_011132671.1",22,5.54875136252086,5.18481603197453e-05,0.00321164526921619,"C2 - C1",4.28526664867045
"WP_011132594.1...23",0.956626256306968,1.07116629282634,5.04598985687235,0.000213447406518686,0.0108553252458075,0.84268120738892,"WP_011132594.1",40,5.5412771750905,5.25869944014663e-05,0.00321164526921619,"C2 - C1",4.27912165048641
"WP_011132227.1...24",-0.841197331746415,1.55098857879639,-5.02048098874213,0.000223367866004923,0.0109681324548624,0.798408295466929,"WP_011132227.1",36,-5.52602406117789,5.41288528519582e-05,0.00321164526921619,"C2 - C1",4.26657117677636
"WP_011131649.1...25",-0.944631576538086,0.0152232487996415,-5.6470893126075,7.50697064314889e-05,0.00593884788658001,1.85891444629263,"WP_011131649.1",12,-5.46893326899238,6.03284068082709e-05,0.00334859589053191,"C2 - C1",4.21947814366276
"WP_011132387.1...26",-0.84960428873698,4.1085423151652,-4.97851257942721,0.000240747857876535,0.0110588693424576,0.72537422508366,"WP_011132387.1",34,-5.4619123254852,6.11400935069028e-05,0.00334859589053191,"C2 - C1",4.21367390140481
