"","C1A","C1B","C1C","C2A","C2B_1","C2C_1","C3A_1","C3B","C3C_1","C4A","C4B","C4C","C5A","C5B","C5C","P1A","P1B","P1C","P2A","P2B","P2C"
"TX50_RS00020",10.199306151296,10.1386083790002,11.5524353903221,10.233088745284,10.8469404187467,10.9685981054749,10.2777624718806,10.7082048084983,10.9254884710212,10.7887715910013,10.4527343060291,10.6738799176754,10.9035098388243,10.8280455251961,10.5664471123472,10.1459808797227,10.1333919232391,9.98025216620941,11.6716315675086,12.0753260696963,12.089237128929
"TX50_RS00025",7.20148454108764,7.40317997592686,8.07009859379001,7.61355506489356,7.03462798364941,7.2940776034404,6.71612924197903,6.56124928664306,6.09886208930761,6.95901455813601,6.55095649030505,6.83314445354385,7.12359849491558,6.41565055149598,7.17994408506358,7.41523939640255,6.96544773741878,7.48071407684594,7.10251060013348,7.57365334588377,7.70344910022435
"TX50_RS00030",8.59956213846032,8.77111971327815,10.0023163514859,8.89771390288834,8.84622276346042,9.1686767350385,9.71587582976283,9.51807027734929,9.7887212257496,9.75801105171144,9.48457037189032,10.2936825206542,9.57700118075253,9.98866272855284,10.0111297713861,8.77428273495994,8.95992135823987,8.76844103396133,11.0212238141439,11.5937401601272,11.7758718808984
"TX50_RS00035",8.46633189599853,8.5386644496649,8.31913804980804,8.51761082559303,8.37267854435713,8.57295595260173,8.5232685368345,8.58142145284287,8.19176185107859,8.75261878484558,8.71669291930876,8.79481857619728,8.5029472497118,8.51746172809856,8.7339403513446,8.44188033385796,8.77566019075086,8.48932214169154,9.18622797025046,9.90807487937313,10.2199089682214
"TX50_RS00040",9.31684594845687,9.54235580396126,10.613333987309,9.65529243572451,10.014345569446,9.94066029169981,9.33127830918757,9.1597578215366,9.21211952948964,9.64841506878287,9.45319298794736,9.54362543011894,9.51510398615837,9.41059834593119,9.47215150530744,9.35630332397586,9.50627703420711,9.2598420540946,10.6002017396655,10.1814652563776,10.2796938889826
"TX50_RS00045",7.05123162973068,6.83091951926414,8.31404677813531,7.8502839092956,7.11389355252132,7.1986076708913,6.20576157332165,7.49661358903448,7.15774510411378,7.53438309220362,7.24281244313656,6.63073195338339,7.04586825621422,6.85869127531872,6.9466236489504,6.84020352714296,6.42436502311102,6.86648045543366,8.18149287946278,8.88384573387994,8.50769567687965
"TX50_RS00050",7.29037443634386,7.18058138803047,9.02282599017217,8.155147613193,8.02732284716355,8.28638509313061,8.57644479870878,8.7283533483356,9.03067813478207,8.63338615811656,8.74994702019448,8.96672095739479,8.16453242317505,8.13454794554332,8.41530265745983,7.12658446071577,7.0373072071198,7.33672299056513,9.39363005063916,9.58877715411483,9.75254506790524
"TX50_RS00055",10.8745078396719,10.269712498511,11.4624617661687,9.69292943442975,11.1119612778907,11.3348583825229,11.1551284238131,11.4500939335332,11.2212888397653,10.9881707389329,10.7312236103791,11.1979641675306,10.8891646947392,10.8591639281158,10.6914938788764,10.1542809265477,10.5586012800803,10.430666645253,10.8962821835299,10.5442790975896,10.8956466246761
"TX50_RS00060",7.51181118217293,7.76882400814024,8.47551233931289,7.62778021285124,7.47550280201921,7.94693555103498,7.90753891675944,6.90637236468067,7.34988342652166,7.55400059528871,6.4842757953043,6.51760926690378,7.50647242290761,6.6543287771159,7.62993339833702,7.62123449662918,7.57890147917146,7.56674055557151,7.12546158958571,7.2096301802003,7.13620459919577
"TX50_RS00065",8.3006626904991,8.01158754853759,7.49926250666287,7.59918777941474,7.60896414866927,7.40174530113672,8.10151134610312,8.00888113159944,7.67086469346591,8.06515642155275,8.32101398227224,8.56770556118791,7.43519946603916,8.08676884190559,8.00559560270067,8.10551632178413,8.20011929304763,7.84014119069527,7.01915685087024,6.84827715856931,7.02841991649542
"TX50_RS00070",7.25154605965028,7.36704077528425,6.99924953106508,7.54023833000257,6.86157462674339,7.08512259628531,6.85234907251745,6.97674791602205,6.47637443047602,6.51245202747068,7.25613187311674,7.27099800899172,7.19732904123793,6.69761057074176,7.14025143986879,7.38728256021873,7.40906615870364,7.23521501290777,6.67416710976927,6.53937068252356,6.75814597669206
"TX50_RS00075",8.2959097673667,8.4647294117873,9.43041168239828,7.6558151896926,8.29190040509791,8.47365757009984,7.58279952550876,8.18955164231756,7.6444721196978,8.65622323911074,8.26294337368151,8.42363470901138,8.3175034618635,8.07048362890657,8.08074929194245,8.35488785960306,8.57775397091233,8.46783108755533,8.20854431340454,8.87844038911689,8.75697433383655
"TX50_RS00080",11.4880241468943,11.6958629972739,11.5669447589199,11.5773012193682,11.7266426183414,11.4793820628979,12.4237300223449,11.7326650156819,12.8249597575492,12.0882632961979,11.8670767138818,11.9071797255783,11.4789498612217,11.6114616757779,11.5839545069852,12.0211344424211,11.8926185662148,11.966577622574,11.7189290124378,11.6598035401208,12.1235743328372
"TX50_RS00085",5.89443676704565,6.71392810698659,7.10946328140497,7.24018907791319,6.78818177364732,7.13486308390393,7.70735948180499,7.20627249093711,7.41383149441784,7.29881219968939,7.11702067778979,7.22047525319653,8.84702831735491,7.36635468309684,7.31080795883258,6.32557471472165,6.56661038389893,6.56961801364589,7.62912599216645,7.86386607105028,8.49159838837915
"TX50_RS00090",8.20249085742216,7.96405373989347,7.97650011893054,8.9995450887592,8.70592701296929,8.50542943661248,9.93012980269291,8.73847714230763,9.705124641952,9.23753097162804,9.37923522428305,9.55992895570914,9.20165746968585,9.55210016688697,9.59799253670573,8.17247581701939,8.01142339821597,8.20099722390148,8.60847546911817,8.43491285517498,8.85458667181956
"TX50_RS00095",10.5548393257505,10.703981369157,9.36917009872977,11.5289350654073,10.8805827035136,10.7719978777706,11.4252002113776,11.7113073072188,11.797814069063,11.3783484016034,11.3493431974613,11.3303666502854,10.6691583530136,10.8942550317364,11.0068642768867,10.8777044066682,11.0345781763382,10.614789260987,9.97511872023116,9.87860262889321,10.4876661774138
"TX50_RS00100",8.47476668942807,9.01980463483136,9.02282599017217,9.34300670751755,9.25726425655466,9.09125367928082,10.3016353047179,9.80605015613507,10.2085608042014,9.79551224837885,9.98897225127428,10.3333428875921,9.88349855012539,10.4855361364337,10.0111297713861,9.15959333758236,9.41889159535078,9.18446470672104,9.27331170834491,9.17808592774385,9.80068344857482
"TX50_RS00105",6.31191216598574,6.63476727323056,6.3989308161592,6.44195841476423,5.88719552781227,6.54488708612528,7.58279952550876,7.06011364529745,7.19464808562757,7.16474183121715,7.6175685648351,7.73381936688661,7.59631732104127,7.98617494439218,7.91460958379862,6.60603013617526,7.05279776458844,6.65342213804814,6.85016600010897,6.83712360867694,6.94783308803078
"TX50_RS00110",5.29416019580463,6.22928144730827,5.91823921509111,7.14436151434494,6.22866595571106,6.03680438745016,8.42521084071201,6.63945726441799,8.09769727797868,7.25149629731357,7.21579675882983,6.50068832226854,8.11983102715171,6.41565055149598,7.16023512135793,6.23004055766377,6.16210344367986,5.99514522608176,7.44097970826424,7.50504915999805,7.42659950414173
"TX50_RS00115",11.1132632447712,10.8388072133233,11.3392118314713,10.7374948622283,10.7534207302854,10.790590215165,9.77959672905486,9.96534364154793,9.63323428023987,9.57842384534409,9.61144239740552,8.69129240481229,10.088647326756,10.4292244853778,9.95236054672194,10.6517726898447,10.4947018280599,10.3919852104392,10.1526404386541,9.82623316586315,9.9030775318764
