gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,na_pvalue,na_padj,significant,direction,status
TX50_RS00020...1,54.46818282387986,0.26754389934639117,1.4201288205580456,0.18839410585390323,0.8505677198210899,0.8758129721572482,longtermvsA1,FALSE,FALSE,FALSE,up,no_significant
TX50_RS00025...2,67.64527017255983,-6.565371399628341,1.0526533714670634,-6.2369737062432105,4.461169380182778e-10,7.412404508611386e-9,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00030...3,380.9627463370871,-4.192036916167267,1.019714431172236,-4.1109910657518265,3.9396444655528435e-5,2.114194297042023e-4,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00035...4,54.2510750886584,-3.6310213223932117,1.2672700322767607,-2.8652309530824827,0.00416705205001859,0.010207448029067907,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00040...5,378.78237726040254,-4.85981144431516,1.0527503880923625,-4.616299836394633,3.906424387069791e-6,2.8009549132185062e-5,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00045...6,35.370264943910705,-3.6583164004632582,1.429960913510206,-2.5583331445633584,0.010517527977873089,0.021817873164183307,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00050...7,24.684125077954253,-1.6896023757614729,1.496869844934197,-1.1287570402193174,0.25900033966488706,0.3245486489781906,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00055...8,88.28220670071167,-0.3385758785045414,1.4416760639427,-0.23484878952529953,0.8143260979757245,0.8441244734865339,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00060...9,87.79899212373091,-3.7204941528061233,1.4857437886536962,-2.5041290303339863,0.012275325822005943,0.024515053953494435,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00065...10,141.55943297290338,-2.13151168101921,1.4504688711183493,-1.4695328686204476,0.14168831347876987,0.19202933779710926,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00070...11,82.49726229034454,-6.494307405683923,1.0462120132836736,-6.207448703729455,5.385167801462268e-10,8.537220147639265e-9,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00075...12,67.3776244037625,-4.587689515038307,1.18452050122367,-3.873035131345545,1.0748832637011038e-4,4.953062079134686e-4,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00080...13,347.6696962489951,-2.969983426244266,0.9744944434967656,-3.0477171481728655,0.002305868587817142,0.006294693396126417,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00085...14,23.163541368957524,-3.0905582983097135,1.3842743714609067,-2.232619747953626,0.025574030698002306,0.04546494346311521,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00090...15,17.61544346782876,-0.9586258390826122,1.4060541637517012,-0.68178443177804815,0.49537526984258756,0.5607967069555216,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00095...16,62.8051298673129,0.8437466639940749,1.4420001909280706,0.5851224356988747,0.5584653941110684,0.6174204741035997,longtermvsA1,FALSE,FALSE,FALSE,up,no_significant
TX50_RS00100...17,25.195213876781658,-0.2347819711465636,1.420145525176846,-0.1653224736368669,0.8686901707979384,0.8908585253049481,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00105...18,3.8980560070821557,-2.8394185742933145,1.4743446075659166,-1.9258852779209332,0.05411870009672909,0.08470753058618466,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00110...19,28.611319630546003,-4.589439069484441,1.3702765598461224,-3.3492794111575694,8.102204333082768e-4,0.0027560254109383906,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00115...20,91.8139039398068,-2.7727246341736724,1.2505098557399073,-2.217275314901932,0.026604283677867206,0.04686259143257343,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00120...21,46.47953834877638,-6.072128343601313,1.4213216002046136,-4.272170593008063,1.9357938975391433e-5,1.1495023556521099e-4,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00125...22,111.63423678047698,-4.487085002042392,1.3450623516226334,-3.3359680290131815,8.500293862653855e-4,0.002868849178645676,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00130...23,228.99905490602856,-0.22034089665389678,1.3803383228808073,-0.1596281817301419,0.8731739778283527,0.8938653043171761,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00135...24,27.94249207449538,-2.5365220767671244,1.4712969278613584,-1.7240041957092587,0.08470708573016097,0.12383573954460081,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00140...25,464.852054031334,-3.722740271437137,1.0263444867849731,-3.627183971240135,2.8652914598761733e-4,0.0011487757871614913,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00145...26,47.21557792157073,-0.622389670340977,1.497937311940584,-0.41549780847281825,0.6777775191359556,0.7261822962851813,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00150...27,48.92471821068125,-1.6355177670428216,1.382696313115715,-1.182846697086657,0.23686990978133293,0.30074298611472694,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00155...28,22.74132427037148,-4.571382699219668,1.369672710140651,-3.337573031407069,8.451350852187944e-4,0.0028579127734991716,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00160...29,53.72444666625814,-4.684008945651242,1.4177169798105644,-3.3039097452843658,9.534652282161e-4,0.003138262694014135,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00165...30,34.644270425643384,-4.953480484978829,1.6256151706994346,-3.0471421368733616,NA,NA,longtermvsA1,TRUE,TRUE,NA,down,outlier
TX50_RS00170...31,15.658562972588173,-2.1781337790203334,1.4557134784967773,-1.4962654472840038,0.13458449547381607,0.18413460663400963,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00175...32,11.188971945172852,-2.9366166770012905,1.5559235499244073,-1.887378513644814,NA,NA,longtermvsA1,TRUE,TRUE,NA,down,outlier
TX50_RS00180...33,33.401248123690834,-3.1423758042177283,1.4544670341042232,-2.1604998467036785,0.03073399546192278,0.05289675712968383,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00185...34,48.67019761211013,0.013891116723209633,1.5074187558743164,0.00921516776216086,0.9926474639795668,0.9937976927906671,longtermvsA1,FALSE,FALSE,FALSE,up,no_significant
TX50_RS00190...35,174.16409149281327,-3.514414329823055,1.0426382914309038,-3.370693709128903,7.497917124038404e-4,0.002586107942183306,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00195...36,18.70993554437133,-3.1823759438880734,1.5277969759166368,-2.0829835338420764,0.03725272449491554,0.06183737553046499,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00200...37,169.8866858003321,-2.1104119598563154,1.4294964054900614,-1.4763324704778267,0.13985466142504188,0.19074100626872326,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00205...38,139.65989431532725,-7.394064947904774,1.0391474368375253,-7.115510933085105,1.114990067589753e-12,4.4807042716164964e-11,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00210...39,16.81461894367072,-1.842437227504431,1.5556932352791513,-1.1843191097850514,0.2362867669997943,0.30043709146031367,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00215...40,42.58287518458433,-2.6155621826325226,1.4578214531219835,-1.7941581097130863,0.07278793620235874,0.10852247951481958,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00220...41,14.415095924672404,-3.119234597305382,1.3924889664107274,-2.2400425946250087,0.02508815773812394,0.04497130349738399,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00225...42,45.6857305761854,-2.377938712070917,1.500615756009597,-1.584641972835389,NA,NA,longtermvsA1,TRUE,TRUE,NA,down,outlier
TX50_RS00230...43,153.73626380818007,-1.3583427112754962,1.1309339904107953,-1.2010804545560594,0.22971999401897034,0.2927405233516082,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00235...44,254.03709867386206,-3.972658165090509,1.0105221510705429,-3.9312925113832407,8.449039727125857e-5,4.0555390690204116e-4,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00240...45,234.3052585033161,-5.600845792120133,1.4960001975345265,-3.743880382736961,NA,NA,longtermvsA1,TRUE,TRUE,NA,down,outlier
TX50_RS00245...46,18.33229502091562,-1.6068809194597593,1.5258816984737904,-1.0530835523271467,0.2923027003748665,0.3605275276572229,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00250...47,43.111134867356476,-3.167148258776742,1.458742110036201,-2.1711502238720892,0.029919818586116385,0.05176491580417282,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00255...48,59.42666425428555,-0.49229434110909914,1.4063096703323925,-0.3500611220235309,0.7262928272408102,0.7685450125365096,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00260...49,22.864552961447487,-5.588965075932891,1.531002601967597,-3.650526177258044,2.61703634264022e-4,0.0010716205687398815,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00265...50,314.09033608102715,-7.410506069207798,0.9876224599005761,-7.503379449221734,6.219318014315463e-14,3.35843172773035e-12,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00270...51,49.422431405005234,-0.24577764098887114,1.33425681420721,-0.18420564794709895,0.8538521288784773,0.8782479039892909,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00275...52,15.981971058814786,-4.569319536136195,1.5015901891255246,-3.0429870741212106,0.00234242394538953,0.006374344216745051,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00280...53,90.05710333565982,-6.686100221482818,0.9091124938971432,-7.3545356227821035,1.915920080634302e-13,9.19641638704465e-12,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00285...54,63.07824533990903,-5.291794803638925,1.2467167642319141,-4.244584620548622,NA,NA,longtermvsA1,TRUE,TRUE,NA,down,outlier
TX50_RS00290...55,19.34655295821825,-1.0731843231379763,1.4910330361216229,-0.7197589168979601,0.4716734439141941,0.5372786493630372,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00295...56,58.39072822186188,-2.440686785834026,1.4706434277026748,-1.6596047280112474,0.09699399657277083,0.13811513135531667,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00300...57,415.0052499859885,-6.196202568323466,0.9575327815748574,-6.471008290841542,9.735109231723597e-11,2.0026510419545686e-9,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00305...58,97.88328456093357,-4.559265944451984,1.208543112504819,-3.7725306588380434,NA,NA,longtermvsA1,TRUE,TRUE,NA,down,outlier
TX50_RS00310...59,94.67907488056106,-5.378320351640751,1.2171920851355909,-4.418629086831126,9.932894655026854e-6,6.380684744939183e-5,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00320...60,43.89914039554928,-1.6956581590982958,1.4851976368437265,-1.1417053980114258,0.2535764962964329,0.3182136424112099,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00325...61,140.12384668772205,-4.824361808562819,1.2762652584179692,-3.7800620025832194,1.5678930955144923e-4,6.955227966271246e-4,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00330...62,47.32504921538456,-1.0960108907048394,1.4146875077788903,-0.774737095420893,0.4384950264472631,0.5058206980646667,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00335...63,177.95479453047102,0.674023000160843,1.3954084197794847,0.4830291910287874,0.6290750096083073,0.679401010376972,longtermvsA1,FALSE,FALSE,FALSE,up,no_significant
TX50_RS00340...64,18.16416586131752,-3.524559341032867,1.5020538509359824,-2.3464933290085375,0.018951005450856005,0.03536429526898399,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00345...65,73.41126315323282,-1.479767921090671,1.4134258618613116,-1.0469370633575326,0.2951286063292158,0.36323520778980406,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00350...66,78.42340429354705,-2.0909335471167814,1.5046350074653514,-1.3896616367042298,NA,NA,longtermvsA1,TRUE,TRUE,NA,down,outlier
TX50_RS00355...67,5.589895234450563,-2.775383285098131,1.469746789431123,-1.888341110901399,0.05898017159341871,0.09099797902984601,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00360...68,100.02015077674058,-1.6193715147970613,1.4507194878470084,-1.1162540576333932,0.2643134010969116,0.33048737850612386,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00365...69,105.05626383109302,-6.014821728158472,1.2110096814641453,-4.96678252884517,NA,NA,longtermvsA1,TRUE,TRUE,NA,down,outlier
TX50_RS00370...70,37.80005227433069,-2.1237246772316043,1.4554317204890268,-1.4591716308876588,NA,NA,longtermvsA1,TRUE,TRUE,NA,down,outlier
TX50_RS00375...71,32.902832970426864,-3.875424440157288,1.4293154503626466,-2.7113849774547765,0.006700278307890065,0.015016966168656332,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00380...72,42.79327371154253,-1.405004499367862,1.390260563384561,-1.010605160191991,0.31220544507097336,0.38126573080045373,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00385...73,119.03257339585232,1.255986428790095,1.502471671009452,0.8359468288318853,0.403184816235695,0.46916051343789966,longtermvsA1,FALSE,FALSE,FALSE,up,no_significant
TX50_RS00390...74,0.4094430676089942,-6.99879731092951,1.9931789986623665,-3.511374199520686,4.4579640121385607e-4,0.0016673943318128643,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00395...75,91.89902121932674,-0.359562917971371,1.4785293255539473,-0.24318957477333553,0.8078585426081972,0.8389300250162048,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00405...76,116.64262477771318,-5.0432011758734925,1.0377220719673206,-4.859876562433096,1.1745896564252534e-6,9.66519488715637e-6,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00410...77,116.34700231721212,-6.302436565281295,1.1138919922759731,-5.658032025532176,1.5311856829266645e-8,1.7877627433089705e-7,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00415...78,10.896622734121495,-3.3194938713010567,1.4749106307921802,-2.25064068425498,0.024408304422253276,0.0439807612530278,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00420...79,211.7453155233757,-1.5638263208933285,1.47444114071624,-1.0606230914946309,NA,NA,longtermvsA1,TRUE,TRUE,NA,down,outlier
TX50_RS00425...80,1.7172752474145825,-4.4986394809886345,1.528655372929568,-2.9428735610743226,0.0032518119908026993,0.008349377593026843,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00430...81,210.98323101611842,-5.795864968348177,1.4094902773478413,-4.112029051561768,NA,NA,longtermvsA1,TRUE,TRUE,NA,down,outlier
TX50_RS00435...82,34.64843661384055,-3.49911067170101,1.5000609109397227,-2.3326457253718917,0.01966674695760877,0.03646366817891411,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00440...83,80.52308794827718,-2.0487543248979665,1.3540924709456834,-1.5130091695046046,0.13027732971270092,0.17923505234358852,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00445...84,132.99142793348904,-4.219504304273082,1.3550298357770083,-3.1139567505194536,0.0018459654648609561,0.005289930884377665,longtermvsA1,FALSE,FALSE,TRUE,down,down
TX50_RS00450...85,41.462263967789255,-0.9629072953369948,1.4178247571206497,-0.6791440835696003,0.497046572729393,0.5610035778421888,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00455...86,130.49791245404126,0.9090005644357149,1.531541102962525,0.5935201887023447,0.5528330760261073,0.6123689457519959,longtermvsA1,FALSE,FALSE,FALSE,up,no_significant
TX50_RS00460...87,69.71530662503531,-1.5593545694449933,1.3590741854995998,-1.1473653065316445,0.25123067352035083,0.31572843915866633,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00465...88,51.220094518707256,-0.9109041389101136,1.4191667465327114,-0.6418584293463908,0.5209651078134746,0.5834268997418562,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
TX50_RS00475...89,78.84333987556715,-1.702611489066087,1.469475257712026,-1.1586527096189794,0.246597774350914,0.31103719275794117,longtermvsA1,FALSE,FALSE,FALSE,down,no_significant
