Plate information 
Plate,Repeat,Barcode,Measurement date,Inside temperature at start,Inside temperature at end,Ambient temperature at start,Ambient temperature at end,
1,1,="",24/10/2021 14:42:39,22.75,22.8,23.9,24.1,


Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,Meas A,0,287654,76,00:00:00.000,De=1st Ex=Btm Em=N/A,



Well,Sample,MeasA:Result,
A01,-,0.1320,
A02,-,0.1520,
A03,-,0.1630,
A04,-,0.1670,
A05,-,0.1770,
A06,-,0.1680,
A07,-,0.1670,
A08,-,0.1830,
A09,-,0.1390,
A10,-,0.2170,
A11,-,0.1380,
A12,-,0.1390,
B01,-,0.1380,
B02,-,0.1960,
B03,-,0.1810,
B04,-,0.1850,
B05,-,0.1880,
B06,-,0.1840,
B07,-,0.1790,
B08,-,0.1860,
B09,-,0.1680,
B10,-,0.1700,
B11,-,0.1320,
B12,-,0.1280,
C01,-,0.1380,
C02,-,0.2170,
C03,-,0.1790,
C04,-,0.1800,
C05,-,0.1890,
C06,-,0.1800,
C07,-,0.1800,
C08,-,0.1920,
C09,-,0.1700,
C10,-,0.1630,
C11,-,0.1270,
C12,-,0.1340,
D01,-,0.1330,
D02,-,0.1500,
D03,-,0.1430,
D04,-,0.1440,
D05,-,0.1830,
D06,-,0.1760,
D07,-,0.1860,
D08,-,0.1810,
D09,-,0.1770,
D10,-,0.1600,
D11,-,0.1280,
D12,-,0.1360,
E01,-,0.1340,
E02,-,0.1620,
E03,-,0.1840,
E04,-,0.1440,
E05,-,0.1720,
E06,-,0.1650,
E07,-,0.1730,
E08,-,0.1780,
E09,-,0.1500,
E10,-,0.1410,
E11,-,0.1260,
E12,-,0.1330,
F01,-,0.1330,
F02,-,0.1770,
F03,-,0.2210,
F04,-,0.1650,
F05,-,0.1960,
F06,-,0.1540,
F07,-,0.1650,
F08,-,0.1730,
F09,-,0.1480,
F10,-,0.1360,
F11,-,0.6580,
F12,-,0.1340,
G01,-,0.1340,
G02,-,0.1790,
G03,-,0.1770,
G04,-,0.1710,
G05,-,0.1750,
G06,-,0.1320,
G07,-,0.1440,
G08,-,0.1660,
G09,-,0.1450,
G10,-,0.1570,
G11,-,0.1430,
G12,-,0.5700,
H01,-,0.1290,
H02,-,0.1420,
H03,-,0.1370,
H04,-,0.1390,
H05,-,0.1460,
H06,-,0.1290,
H07,-,0.1360,
H08,-,0.1330,
H09,-,0.1300,
H10,-,0.1360,
H11,-,0.1330,
H12,-,0.1340,

Basic assay information 
Assay ID: ,,,,639
Assay Started: ,,,,24/10/2021 14:40:34
Assay Finished: ,,,,24/10/2021 14:42:57
