Plate information 
Plate,Repeat,Barcode,Measurement date,Inside temperature at start,Inside temperature at end,Ambient temperature at start,Ambient temperature at end,
1,1,="",28/10/2021 15:50:10,25.75,25.9,26.9,27,


Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,Meas A,0,287728,76,00:00:00.000,De=1st Ex=Btm Em=N/A,



Well,Sample,MeasA:Result,
A01,-,0.1380,
A02,-,0.1500,
A03,-,0.1470,
A04,-,0.1480,
A05,-,0.1540,
A06,-,0.1470,
A07,-,0.1360,
A08,-,0.1530,
A09,-,0.1420,
A10,-,0.2130,
A11,-,0.1380,
A12,-,0.1430,
B01,-,0.1270,
B02,-,0.1350,
B03,-,0.1370,
B04,-,0.1350,
B05,-,0.1420,
B06,-,0.1390,
B07,-,0.1340,
B08,-,0.1360,
B09,-,0.1350,
B10,-,0.1390,
B11,-,0.1330,
B12,-,0.1260,
C01,-,0.1350,
C02,-,0.1350,
C03,-,0.1340,
C04,-,0.1360,
C05,-,0.1440,
C06,-,0.1330,
C07,-,0.1340,
C08,-,0.1320,
C09,-,0.1360,
C10,-,0.1380,
C11,-,0.1300,
C12,-,0.1350,
D01,-,0.1350,
D02,-,0.1340,
D03,-,0.1340,
D04,-,0.1370,
D05,-,0.1420,
D06,-,0.1300,
D07,-,0.1380,
D08,-,0.1410,
D09,-,0.1450,
D10,-,0.1410,
D11,-,0.1320,
D12,-,0.1360,
E01,-,0.1350,
E02,-,0.1370,
E03,-,0.1340,
E04,-,0.1430,
E05,-,0.1430,
E06,-,0.1350,
E07,-,0.1380,
E08,-,0.1320,
E09,-,0.1400,
E10,-,0.1410,
E11,-,0.1330,
E12,-,0.1350,
F01,-,0.1330,
F02,-,0.1360,
F03,-,0.1400,
F04,-,0.1390,
F05,-,0.1470,
F06,-,0.1360,
F07,-,0.1400,
F08,-,0.1300,
F09,-,0.1370,
F10,-,0.1290,
F11,-,0.1210,
F12,-,0.1370,
G01,-,0.1380,
G02,-,0.1360,
G03,-,0.1300,
G04,-,0.1390,
G05,-,0.1450,
G06,-,0.1330,
G07,-,0.1400,
G08,-,0.1320,
G09,-,0.1160,
G10,-,0.1350,
G11,-,0.1340,
G12,-,0.1290,
H01,-,0.1410,
H02,-,0.1390,
H03,-,0.1330,
H04,-,0.1430,
H05,-,0.1440,
H06,-,0.1330,
H07,-,0.1400,
H08,-,0.1370,
