sample_id,cluster_id,Freq,file_name,condition,bottle,replicate,patient_id,Day,Sybr,is_sybr,batch,dilution,flow_rate,is_time_point,day_bin,cells,lumped_cells,count,total,abundance,new_cluster_id,not_beads
A0A-d10-sybr,ALT,1364,b25-01-22_specimen_2+sybr_Tube_005_114.fcs,A,0,A,A0A,10,-sybr,TRUE,25_1_specimen2,100,0.025699999999999834,NA,"(5,10]",5307392.996108984,cells,1765,6867704.280155687,77.28045325779037,ALT,TRUE
A0A-d10-sybr,rest,153,b25-01-22_specimen_2+sybr_Tube_005_114.fcs,A,0,A,A0A,10,-sybr,TRUE,25_1_specimen2,100,0.025699999999999834,NA,"(5,10]",595330.7392996147,cells,1765,6867704.280155687,8.6685552407932,rest,TRUE
A0A-d10-sybr,PROlow,19,b25-01-22_specimen_2+sybr_Tube_005_114.fcs,A,0,A,A0A,10,-sybr,TRUE,25_1_specimen2,100,0.025699999999999834,NA,"(5,10]",73929.96108949464,cells,1765,6867704.280155687,1.0764872521246458,rest,TRUE
A0A-d10-sybr,small,76,b25-01-22_specimen_2+sybr_Tube_005_114.fcs,A,0,A,A0A,10,-sybr,TRUE,25_1_specimen2,100,0.025699999999999834,NA,"(5,10]",295719.84435797855,cells,1765,6867704.280155687,4.305949008498583,small,TRUE
A0A-d10-sybr,PROhigh,153,b25-01-22_specimen_2+sybr_Tube_005_114.fcs,A,0,A,A0A,10,-sybr,TRUE,25_1_specimen2,100,0.025699999999999834,NA,"(5,10]",595330.7392996147,cells,1765,6867704.280155687,8.6685552407932,rest,TRUE
A0A-d10-sybr,beads,59,b25-01-22_specimen_2+sybr_Tube_005_114.fcs,A,0,A,A0A,10,-sybr,TRUE,25_1_specimen2,100,0.025699999999999834,NA,"(5,10]",229571.98443579915,beads,59,229571.98443579915,100,beads,FALSE
A0A-d11-sybr,rest,255,b25-01-22_specimen_2+sybr_Tube_015_123.fcs,A,0,A,A0A,11,-sybr,TRUE,25_1_specimen2,100,0.025699999999999834,NA,"(10,20]",992217.8988326913,cells,2016,7844357.976653747,12.648809523809526,rest,TRUE
A0A-d11-sybr,ALT,1505,b25-01-22_specimen_2+sybr_Tube_015_123.fcs,A,0,A,A0A,11,-sybr,TRUE,25_1_specimen2,100,0.025699999999999834,NA,"(10,20]",5856031.128404707,cells,2016,7844357.976653747,74.65277777777777,ALT,TRUE
A0A-d11-sybr,PROlow,16,b25-01-22_specimen_2+sybr_Tube_015_123.fcs,A,0,A,A0A,11,-sybr,TRUE,25_1_specimen2,100,0.025699999999999834,NA,"(10,20]",62256.8093385218,cells,2016,7844357.976653747,0.7936507936507936,rest,TRUE
A0A-d11-sybr,small,136,b25-01-22_specimen_2+sybr_Tube_015_123.fcs,A,0,A,A0A,11,-sybr,TRUE,25_1_specimen2,100,0.025699999999999834,NA,"(10,20]",529182.8793774353,cells,2016,7844357.976653747,6.746031746031745,small,TRUE
